This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 202302 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and,
administrative expenses, minus interest expense) divided by book equity 
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm's accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197202,    4.84,    3.54,    4.58,    5.51,    3.02,    3.57,    4.09,    4.62,    5.88,    4.99,    2.78,    3.22,    2.99,    4.21,    3.79,    4.45,    4.89,    4.38
197203,   -0.48,    0.20,    0.48,   -0.69,   -0.09,   -0.03,    0.75,    0.55,   -1.93,    1.02,    0.16,   -0.31,    0.41,   -0.51,    1.14,    0.30,    1.00,    0.14
197204,    0.56,    0.02,    0.20,    0.15,    0.84,    0.06,    0.02,    0.23,   -0.42,    0.94,    1.78,    0.01,    0.53,   -0.45,   -0.06,    0.12,    0.98,   -0.44
197205,   -3.42,   -1.23,   -1.09,   -3.65,   -2.01,   -1.56,   -0.94,   -0.96,   -3.91,   -3.28,   -2.75,   -1.36,   -1.75,   -1.34,   -0.51,   -1.46,   -0.73,   -1.16
197206,   -3.99,   -3.27,   -3.23,   -4.26,   -3.23,   -3.53,   -2.45,   -3.66,   -4.93,   -3.36,   -3.16,   -3.30,   -3.57,   -3.48,   -2.76,   -2.08,   -3.66,   -3.66
197207,   -3.02,   -2.43,   -3.76,   -3.70,   -1.61,   -2.32,   -2.62,   -4.35,   -3.99,   -3.25,   -0.96,   -2.22,   -2.16,   -2.50,   -2.85,   -2.39,   -4.78,   -3.98
197208,    0.87,    1.64,    1.15,    0.93,    1.28,    2.01,    1.33,    0.82,    0.33,    1.88,    0.67,    1.85,    1.01,    3.07,    0.74,    1.93,    1.17,    0.51
197209,   -4.12,   -2.71,   -2.94,   -4.29,   -2.97,   -2.90,   -2.28,   -3.41,   -4.44,   -4.07,   -3.61,   -2.36,   -3.05,   -2.74,   -2.69,   -1.86,   -4.32,   -2.63
197210,   -2.65,   -0.71,   -1.19,   -3.09,   -0.94,   -0.43,   -0.78,   -1.64,   -4.05,   -1.57,   -1.34,   -0.56,   -0.65,   -0.19,   -1.41,   -0.14,   -0.71,   -2.46
197211,    4.64,    5.65,    5.43,    4.34,    5.35,    5.82,    5.81,    5.27,    2.99,    6.45,    5.55,    5.16,    5.72,    5.93,    5.81,    5.81,    5.28,    5.26
197212,   -3.05,   -1.60,   -1.37,   -3.08,   -2.31,   -1.41,   -1.60,   -1.40,   -3.48,   -2.44,   -2.95,   -1.69,   -2.10,   -0.68,   -1.88,   -1.31,   -1.15,   -1.61
197301,   -2.20,   -4.65,   -5.57,   -1.58,   -4.23,   -4.91,   -4.58,   -5.92,    0.08,   -4.17,   -4.07,   -4.38,   -5.19,   -4.61,   -4.41,   -4.75,   -6.50,   -5.41
197302,   -6.99,   -7.25,   -8.21,   -7.11,   -6.89,   -6.80,   -7.28,   -9.01,   -7.41,   -6.64,   -6.63,   -7.15,   -7.27,   -6.31,   -8.20,   -6.36,   -8.40,   -9.54
197303,   -1.69,   -2.92,   -3.18,   -1.55,   -2.26,   -2.77,   -3.13,   -3.45,   -1.66,   -1.39,   -2.11,   -2.41,   -2.74,   -2.80,   -3.72,   -2.55,   -3.60,   -3.31
197304,   -6.59,   -6.07,   -8.85,   -6.89,   -5.15,   -6.08,   -7.49,   -9.41,   -6.80,   -7.04,   -5.68,   -4.64,   -5.85,   -6.32,   -7.45,   -7.53,   -8.74,  -10.01
197305,   -9.52,   -7.42,   -7.71,  -10.24,   -6.89,   -7.89,   -7.04,   -8.18,  -10.90,   -9.23,   -7.35,   -6.45,   -7.60,   -8.20,   -7.46,   -6.62,   -8.12,   -8.23
197306,   -2.41,   -3.41,   -4.59,   -2.23,   -3.19,   -3.33,   -3.82,   -4.81,   -2.08,   -2.48,   -2.94,   -3.42,   -3.89,   -2.73,   -3.54,   -4.10,   -5.09,   -4.56
197307,   12.24,   10.87,   14.36,   12.22,   11.68,   10.40,   11.80,   15.28,   12.46,   11.82,   12.30,   10.98,   10.46,   10.35,   11.57,   12.05,   15.11,   15.41
197308,   -3.73,   -4.47,   -5.23,   -3.57,   -4.44,   -4.20,   -4.86,   -5.34,   -3.55,   -3.60,   -4.25,   -4.66,   -3.99,   -4.42,   -4.78,   -4.94,   -5.54,   -5.18
197309,    7.91,    8.90,    9.23,    7.93,    8.58,    8.93,    8.21,    9.76,    7.11,    9.21,    7.85,    9.41,    8.56,    9.30,    8.49,    7.92,   10.09,    9.49
197310,    1.60,    0.44,   -1.79,    1.69,    1.52,    0.38,   -0.49,   -2.27,    2.25,    0.81,    1.34,    1.72,    0.84,   -0.08,   -0.39,   -0.59,   -1.23,   -3.11
197311,  -17.20,  -17.71,  -20.60,  -17.32,  -17.71,  -17.36,  -18.06,  -21.43,  -17.94,  -16.34,  -16.86,  -18.64,  -18.60,  -16.10,  -17.64,  -18.51,  -20.75,  -21.98
197312,   -4.43,   -2.66,   -2.99,   -4.64,   -3.04,   -2.33,   -2.90,   -3.28,   -6.69,   -1.45,   -3.78,   -2.23,   -2.18,   -2.48,   -3.52,   -2.25,   -3.58,   -3.04
197401,   18.41,   11.06,   11.23,   19.46,   12.61,   11.63,   11.09,   11.28,   23.80,   12.81,   15.21,    9.72,   12.34,   10.91,   11.07,   11.11,   11.39,   11.20
197402,    0.93,    0.94,    0.27,    0.87,    0.96,    1.14,    0.20,    0.51,    0.50,    1.43,    1.12,    0.77,    1.04,    1.25,    0.73,   -0.35,    0.03,    0.90
197403,    0.70,    0.38,    1.29,    0.98,   -0.17,    0.39,    1.13,    1.21,    1.09,    0.82,   -0.14,   -0.21,   -0.05,    0.84,    0.78,    1.50,    1.30,    1.15
197404,   -5.46,   -5.21,   -5.14,   -5.32,   -5.13,   -5.54,   -5.34,   -5.06,   -4.94,   -5.89,   -5.90,   -4.28,   -4.89,   -6.21,   -5.34,   -5.34,   -4.60,   -5.44
197405,   -7.44,   -6.94,   -6.23,   -7.53,   -7.32,   -6.87,   -6.15,   -6.46,   -7.79,   -7.15,   -7.14,   -7.51,   -6.27,   -7.50,   -6.64,   -5.64,   -6.35,   -6.55
197406,   -2.50,   -2.72,   -2.82,   -2.27,   -2.98,   -2.72,   -3.04,   -2.59,   -2.30,   -2.23,   -3.17,   -2.77,   -2.96,   -2.47,   -2.69,   -3.39,   -2.92,   -2.31
197407,   -3.93,   -4.01,   -6.50,   -4.38,   -3.30,   -3.49,   -5.48,   -6.73,   -4.82,   -3.76,   -2.50,   -4.10,   -3.72,   -3.26,   -4.95,   -5.96,   -6.08,   -7.22
197408,   -7.50,   -8.37,   -8.36,   -7.39,   -7.88,   -7.87,   -9.20,   -8.22,   -7.41,   -7.35,   -7.87,   -7.88,   -7.77,   -7.96,   -9.77,   -8.69,   -8.14,   -8.28
197409,   -7.54,   -7.40,  -10.36,   -7.94,   -6.67,   -7.39,   -8.72,  -10.66,   -8.48,   -7.21,   -6.25,   -7.08,   -7.64,   -7.14,   -7.68,   -9.65,   -9.66,  -11.40
197410,   10.06,   10.17,   11.32,   10.14,    9.90,    9.96,   10.70,   11.60,    9.60,   10.89,    9.81,    9.98,   10.80,    9.12,   10.75,   10.65,    9.52,   13.14
197411,   -5.13,   -4.58,   -5.69,   -5.60,   -4.25,   -4.02,   -5.39,   -5.83,   -5.74,   -5.42,   -3.65,   -4.85,   -3.48,   -4.55,   -5.43,   -5.35,   -6.02,   -5.70
197412,   -8.67,   -6.22,   -7.70,   -9.17,   -6.72,   -6.16,   -6.81,   -7.84,  -10.66,   -7.15,   -7.08,   -6.37,   -6.82,   -5.49,   -6.21,   -7.36,   -6.34,   -8.95
197501,   34.52,   27.21,   28.91,   35.99,   28.76,   26.61,   29.06,   28.45,   40.82,   29.52,   29.89,   27.62,   26.30,   26.92,   28.03,   29.99,   27.62,   29.06
197502,    6.49,    4.69,    5.17,    6.62,    4.84,    5.32,    4.83,    5.16,    6.65,    6.57,    6.11,    3.56,    4.43,    6.21,    4.42,    5.20,    5.30,    5.05
197503,    8.63,    7.93,   10.70,    9.11,    7.96,    7.54,    9.13,   10.92,   10.82,    6.83,    7.14,    8.78,    7.52,    7.55,    7.96,   10.20,    9.37,   12.07
197504,    3.71,    3.52,    4.98,    3.89,    2.93,    3.89,    4.20,    5.04,    3.61,    4.25,    3.15,    2.71,    4.00,    3.77,    3.49,    4.84,    4.72,    5.28
197505,    8.48,    7.50,    7.68,    8.19,    8.46,    7.39,    7.01,    8.24,    8.58,    7.65,    9.41,    7.51,    8.40,    6.35,    7.70,    6.38,    8.14,    8.33
197506,    9.21,    7.59,    7.31,    9.71,    7.60,    7.93,    7.20,    7.27,   10.84,    8.20,    7.66,    7.54,    8.56,    7.28,    6.98,    7.40,    6.72,    7.68
197507,   -0.52,   -1.19,   -1.27,   -0.29,   -1.48,   -0.27,   -1.77,   -1.28,    0.04,   -0.85,   -1.17,   -1.81,   -0.20,   -0.33,   -2.31,   -1.27,   -1.61,   -1.05
197508,   -5.52,   -4.47,   -4.70,   -5.91,   -4.48,   -4.27,   -4.68,   -4.76,   -6.82,   -4.36,   -4.45,   -4.52,   -4.11,   -4.41,   -4.81,   -4.55,   -4.64,   -4.84
197509,   -3.92,   -3.18,   -3.65,   -4.27,   -3.46,   -2.87,   -3.65,   -3.39,   -4.53,   -3.84,   -2.96,   -4.01,   -3.34,   -2.49,   -2.95,   -4.30,   -3.15,   -3.56
197510,    0.73,    3.04,    2.49,    0.04,    3.07,    2.61,    3.16,    2.28,   -0.54,    1.03,    2.61,    3.58,    3.55,    1.83,    3.32,    3.01,    2.95,    1.81
197511,    1.62,    2.93,    2.09,    0.92,    3.44,    2.53,    2.50,    2.23,    0.46,    1.69,    3.54,    3.34,    3.82,    1.45,    3.29,    1.76,    3.14,    1.58
197512,   -0.12,   -0.73,   -0.70,    0.08,   -1.13,   -0.33,   -0.45,   -0.85,    0.57,   -0.74,   -0.69,   -1.62,   -0.63,   -0.08,   -0.61,   -0.30,   -1.84,   -0.16
197601,   22.10,   18.46,   18.35,   22.69,   20.24,   18.02,   18.15,   18.31,   24.28,   20.01,   20.47,   20.00,   17.03,   18.85,   17.81,   18.47,   18.74,   18.00
197602,   15.80,    8.94,    9.09,   17.15,   11.33,    8.94,    8.31,    9.07,   19.96,   12.43,   12.06,   10.54,    9.24,    8.69,    7.43,    9.15,    7.15,   10.43
197603,    2.87,    1.28,    2.39,    3.19,    2.08,    1.34,    1.42,    2.35,    3.56,    2.57,    1.98,    2.19,    0.70,    1.88,    0.30,    2.48,    2.37,    2.35
197604,   -0.96,   -0.91,   -0.93,   -0.99,   -1.25,   -0.68,   -0.71,   -1.00,   -1.18,   -0.68,   -0.89,   -1.63,   -1.35,   -0.13,   -0.66,   -0.76,   -0.94,   -1.04
197605,   -3.31,   -2.15,   -1.19,   -3.52,   -2.85,   -2.01,   -1.29,   -1.26,   -3.65,   -3.31,   -2.72,   -2.98,   -1.69,   -2.29,   -1.61,   -1.00,   -1.12,   -1.37
197606,    2.74,    3.60,    3.17,    2.76,    3.35,    3.76,    2.92,    3.25,    2.42,    3.33,    2.68,    4.07,    4.08,    3.49,    2.87,    2.97,    2.40,    3.85
197607,   -0.03,    0.73,   -0.41,   -0.14,    0.46,    1.01,    0.50,   -0.87,   -0.12,   -0.16,    0.30,    0.61,    0.97,    1.06,    0.20,    0.75,   -0.59,   -1.09
197608,   -3.16,   -0.57,   -1.96,   -3.70,   -1.08,   -0.32,   -0.93,   -2.38,   -4.80,   -1.91,   -1.41,   -0.75,    0.19,   -0.81,   -0.96,   -0.91,   -2.43,   -2.35
197609,    0.75,    2.10,    2.38,    0.32,    1.75,    2.30,    2.37,    2.40,   -0.18,    1.13,    2.12,    1.40,    2.40,    2.21,    2.43,    2.33,    2.76,    2.12
197610,   -2.93,   -1.74,   -2.36,   -3.30,   -1.57,   -1.97,   -1.66,   -2.62,   -3.18,   -3.50,   -1.74,   -1.39,   -2.02,   -1.92,   -1.60,   -1.70,   -1.76,   -3.27
197611,    2.27,    2.43,    2.90,    2.15,    2.73,    2.07,    3.03,    2.78,    1.79,    2.72,    2.64,    2.82,    2.49,    1.67,    2.83,    3.20,    2.83,    2.75
197612,   11.16,    9.17,    9.88,   11.59,    9.33,    9.01,    9.47,   10.16,   12.38,   10.32,    9.78,    8.88,    8.47,    9.52,    9.85,    9.16,   10.64,    9.80
197701,    4.96,    2.79,    2.24,    5.40,    2.95,    3.08,    2.29,    2.34,    5.90,    4.60,    3.58,    2.33,    3.15,    3.02,    2.64,    2.00,    1.83,    2.72
197702,    0.31,    0.01,   -0.71,    0.41,    0.29,   -0.44,   -0.24,   -0.69,    0.85,   -0.30,    0.01,    0.57,    0.01,   -0.86,    0.40,   -0.76,   -0.60,   -0.75
197703,    1.08,    0.69,    0.71,    1.36,    0.70,    0.61,    0.53,    0.73,    1.47,    1.18,    0.21,    1.18,    1.20,    0.05,    0.34,    0.68,    1.46,    0.19
197704,    2.11,    1.72,    1.27,    2.26,    1.58,    1.82,    1.47,    1.26,    2.28,    2.23,    1.62,    1.53,    1.49,    2.13,    1.70,    1.29,    1.66,    0.96
197705,    0.37,    0.01,    0.20,    0.40,    0.17,   -0.09,    0.24,    0.16,    0.41,    0.38,    0.27,    0.08,    0.07,   -0.24,    0.17,    0.30,    0.82,   -0.32
197706,    5.71,    5.26,    6.11,    5.56,    5.54,    5.43,    5.67,    6.16,    6.10,    4.69,    6.20,    4.89,    5.29,    5.57,    5.28,    5.98,    5.35,    6.76
197707,    1.13,    0.90,    0.65,    1.24,    0.83,    0.93,    1.04,    0.40,    1.85,    0.18,    0.76,    0.89,    0.98,    0.87,    0.85,    1.20,    0.53,    0.31
197708,   -1.20,   -0.52,   -0.13,   -1.08,   -1.05,   -0.85,   -0.07,   -0.06,   -1.30,   -0.71,   -1.58,   -0.58,   -1.26,   -0.43,    0.20,   -0.28,   -0.35,    0.14
197709,    0.68,    1.19,    1.85,    0.58,    1.29,    0.79,    1.50,    2.06,    0.85,    0.11,    1.02,    1.52,    0.75,    0.82,    1.64,    1.39,    1.84,    2.21
197710,   -2.45,   -2.15,   -2.81,   -2.81,   -1.75,   -2.03,   -2.43,   -2.93,   -3.60,   -1.44,   -1.20,   -2.24,   -1.79,   -2.27,   -2.29,   -2.54,   -2.65,   -3.14
197711,    7.26,    7.27,    7.59,    7.11,    7.04,    7.50,    7.87,    7.41,    7.47,    6.49,    7.76,    6.42,    7.61,    7.39,    7.74,    7.98,    7.12,    7.62
197712,    1.69,    1.69,    2.91,    1.91,    1.70,    1.14,    2.14,    3.23,    1.22,    3.10,    0.92,    2.38,    1.14,    1.13,    2.07,    2.19,    2.84,    3.50
197801,   -0.17,   -1.94,   -2.41,    0.18,   -1.23,   -1.92,   -3.03,   -2.08,    0.92,   -1.13,   -1.38,   -1.10,   -1.85,   -1.99,   -2.89,   -3.14,   -2.36,   -1.89
197802,    2.58,    1.88,    2.91,    2.86,    1.68,    1.56,    2.79,    2.90,    3.15,    2.35,    1.59,    1.76,    0.89,    2.26,    2.62,    2.92,    2.36,    3.28
197803,    7.73,    6.45,    6.51,    7.77,    7.15,    6.28,    6.34,    6.61,    8.71,    6.10,    7.60,    6.77,    5.73,    6.86,    6.44,    6.26,    5.67,    7.28
197804,    8.54,    7.59,    8.73,    9.19,    7.01,    7.50,    7.92,    9.03,    9.92,    7.88,    6.33,    7.60,    7.93,    7.04,    7.76,    8.06,    8.59,    9.34
197805,    8.43,    5.65,    7.50,    9.60,    5.38,    4.94,    6.59,    7.86,   10.16,    8.60,    4.41,    6.23,    4.74,    5.15,    6.44,    6.72,    7.73,    7.95
197806,    1.39,    0.51,    0.34,    1.92,    0.30,    0.46,    0.06,    0.49,    1.90,    1.95,   -0.45,    0.96,    0.49,    0.43,    0.13,    0.00,   -0.17,    0.97
197807,    4.46,    5.39,    6.40,    4.40,    4.79,    5.34,    5.83,    6.65,    4.43,    4.33,    4.65,    4.96,    5.25,    5.42,    5.88,    5.78,    6.02,    7.08
197808,    9.86,    8.22,   10.49,   10.69,    7.89,    7.98,    9.10,   10.85,   11.15,    9.77,    7.54,    8.30,    8.02,    7.95,    8.56,    9.63,    9.53,   11.73
197809,    1.37,    0.01,   -0.80,    1.44,    0.43,    0.11,    0.25,   -1.23,    2.39,   -0.42,    1.19,   -0.44,   -0.09,    0.32,    0.26,    0.24,   -0.87,   -1.47
197810,  -19.26,  -17.42,  -20.00,  -20.03,  -16.99,  -17.37,  -17.55,  -21.22,  -21.09,  -17.95,  -17.12,  -16.84,  -17.89,  -16.82,  -18.05,  -17.06,  -20.34,  -21.81
197811,    3.44,    4.72,    5.80,    2.86,    5.09,    4.60,    4.62,    6.28,    1.94,    4.65,    5.08,    5.10,    4.93,    4.25,    4.59,    4.64,    5.76,    6.64
197812,    0.50,    1.54,    2.39,   -0.16,    1.64,    1.17,    2.39,    2.58,   -0.29,    0.11,    2.33,    0.86,    1.71,    0.60,    2.84,    1.95,    2.59,    2.58
197901,   11.28,    8.19,    9.47,   12.15,    8.67,    8.47,    8.26,    9.65,   13.07,   10.35,    8.88,    8.44,    8.28,    8.66,    7.44,    9.05,    8.96,   10.12
197902,   -1.60,   -2.09,   -3.09,   -1.62,   -1.32,   -2.51,   -2.69,   -3.08,   -1.50,   -1.86,   -1.53,   -1.07,   -2.42,   -2.60,   -2.25,   -3.12,   -2.72,   -3.33
197903,    8.48,    8.02,    9.03,    8.50,    7.68,    8.01,    8.26,    9.72,    8.59,    8.30,    8.44,    6.80,    7.88,    8.13,    9.15,    7.39,    9.66,    9.76
197904,    3.07,    2.29,    2.45,    3.21,    2.68,    2.05,    2.58,    2.30,    3.53,    2.59,    2.68,    2.68,    2.22,    1.87,    2.35,    2.81,    2.27,    2.33
197905,   -0.27,   -1.31,   -1.50,   -0.44,   -0.27,   -1.47,   -1.64,   -1.38,   -0.47,   -0.39,    0.21,   -0.82,   -1.22,   -1.73,   -1.48,   -1.79,   -1.64,   -1.20
197906,    5.94,    5.54,    4.64,    6.10,    5.31,    5.87,    5.22,    4.46,    6.35,    5.61,    5.49,    5.10,    5.98,    5.75,    5.36,    5.08,    4.70,    4.29
197907,    1.96,    2.83,    2.71,    1.75,    2.50,    2.79,    3.18,    2.63,    2.01,    1.30,    2.67,    2.34,    2.60,    2.94,    3.42,    2.93,    2.36,    2.83
197908,    7.25,    7.56,    8.56,    7.66,    6.59,    7.60,    8.07,    8.65,    7.98,    7.12,    5.90,    7.23,    6.65,    8.39,    7.82,    8.32,    7.78,    9.27
197909,   -0.07,   -0.30,   -0.40,   -0.06,   -0.49,   -0.39,    0.48,   -0.74,   -0.19,    0.16,   -0.13,   -0.82,   -0.73,   -0.11,    0.45,    0.51,   -0.86,   -0.65
197910,   -9.53,   -9.07,  -10.16,   -9.54,   -9.30,   -8.66,   -9.62,  -10.44,  -10.36,   -8.14,   -9.50,   -9.10,   -8.32,   -8.95,   -9.84,   -9.39,  -10.06,  -10.72
197911,    5.82,    6.18,    8.46,    5.79,    6.02,    5.92,    7.32,    8.67,    5.61,    6.09,    5.90,    6.13,    6.02,    5.84,    6.74,    7.92,    7.80,    9.30
197912,    7.20,    5.98,    7.05,    7.64,    6.12,    5.92,    5.71,    7.49,    8.55,    6.12,    5.72,    6.50,    5.54,    6.22,    5.53,    5.88,    6.74,    8.03
198001,   12.58,    8.24,    9.01,   13.61,    8.77,    8.49,    7.21,    9.80,   15.52,   10.38,    9.16,    8.42,    7.54,    9.27,    7.53,    6.90,    7.92,   11.16
198002,    0.35,   -2.54,   -1.35,    1.22,   -2.41,   -2.32,   -2.67,   -1.07,    2.15,   -0.34,   -2.50,   -2.32,   -1.53,   -2.98,   -3.24,   -2.10,   -2.40,   -0.10
198003,  -16.96,  -14.66,  -16.31,  -17.70,  -14.59,  -14.72,  -14.87,  -16.75,  -19.28,  -15.08,  -14.53,  -14.64,  -13.93,  -15.37,  -14.58,  -15.16,  -15.08,  -17.95
198004,    4.92,    5.27,    5.37,    4.57,    5.54,    5.23,    5.70,    5.19,    3.72,    5.98,    6.02,    5.08,    5.39,    5.10,    5.56,    5.84,    4.89,    5.41
198005,    6.66,    7.35,    8.06,    6.52,    7.72,    7.08,    7.54,    8.03,    6.51,    6.53,    7.14,    8.27,    6.47,    7.58,    6.91,    8.16,    8.63,    7.59
198006,    3.57,    4.14,    4.62,    3.51,    3.61,    4.42,    4.46,    4.63,    3.43,    3.63,    3.77,    3.46,    4.39,    4.45,    4.31,    4.61,    3.54,    5.40
198007,    7.94,    9.73,   11.81,    7.80,    9.23,    9.15,   10.63,   12.23,    7.97,    7.45,    8.40,   10.02,    8.91,    9.37,   10.48,   10.79,   12.62,   11.94
198008,    6.61,    6.72,    7.42,    7.05,    6.10,    6.47,    6.51,    7.93,    7.42,    6.29,    5.12,    7.03,    6.29,    6.66,    6.86,    6.15,    7.24,    8.45
198009,    5.54,    3.53,    5.25,    5.69,    4.15,    3.34,    4.52,    5.38,    7.19,    2.66,    5.00,    3.32,    3.04,    3.61,    4.09,    4.94,    5.07,    5.61
198010,    3.92,    3.73,    4.61,    4.18,    3.73,    3.45,    4.01,    4.68,    4.82,    2.88,    3.04,    4.39,    3.51,    3.40,    3.57,    4.44,    3.81,    5.33
198011,    5.95,    6.02,    8.42,    6.52,    5.13,    5.38,    7.16,    8.86,    6.99,    5.58,    4.00,    6.22,    4.57,    6.14,    6.96,    7.36,    7.11,   10.19
198012,   -3.55,   -2.46,   -3.27,   -4.07,   -2.51,   -2.17,   -2.41,   -3.56,   -4.60,   -3.00,   -1.83,   -3.17,   -2.61,   -1.76,   -2.29,   -2.54,   -2.58,   -4.30
198101,    1.59,    0.60,   -1.07,    1.74,    1.09,    0.23,    0.24,   -1.37,    2.14,    0.94,    1.11,    1.08,    0.53,   -0.06,    0.81,   -0.32,   -0.60,   -1.96
198102,    0.39,    1.30,    0.99,    0.08,    1.23,    1.70,    1.14,    0.81,    0.00,    0.22,    1.42,    1.04,    1.17,    2.21,    0.83,    1.44,    1.57,    0.24
198103,    7.91,    7.57,    8.04,    7.65,    8.40,    6.79,    7.98,    8.28,    6.79,    9.37,    8.76,    8.05,    6.55,    7.01,    8.50,    7.46,    8.02,    8.47
198104,    2.61,    2.46,    4.31,    2.60,    2.86,    2.06,    3.27,    4.45,    2.60,    2.59,    2.63,    3.08,    1.31,    2.77,    2.58,    3.96,    4.43,    4.47
198105,    3.73,    2.54,    3.38,    4.30,    2.45,    2.56,    2.32,    3.71,    4.71,    3.49,    1.85,    3.03,    2.20,    2.90,    2.05,    2.58,    3.68,    3.73
198106,   -0.72,    0.37,   -1.30,   -1.29,    0.67,    1.02,   -1.16,   -1.15,   -2.39,    0.88,    1.12,    0.23,    1.47,    0.60,   -0.66,   -1.66,   -1.14,   -1.16
198107,   -2.14,   -2.11,   -2.48,   -2.46,   -1.79,   -2.04,   -2.12,   -2.51,   -3.06,   -1.07,   -1.01,   -2.51,   -1.84,   -2.25,   -1.81,   -2.40,   -2.31,   -2.64
198108,   -8.03,   -6.13,   -8.71,   -8.44,   -6.62,   -5.75,   -7.02,   -9.10,   -9.22,   -6.65,   -6.54,   -6.69,   -5.50,   -6.01,   -6.31,   -7.66,   -7.73,  -10.01
198109,   -9.82,   -6.97,   -8.61,  -10.48,   -7.51,   -6.58,   -7.32,   -9.04,  -11.63,   -7.86,   -7.46,   -7.55,   -6.54,   -6.62,   -7.14,   -7.49,   -8.08,   -9.67
198110,    6.23,    6.89,    9.43,    6.35,    6.05,    6.82,    8.36,    9.62,    6.12,    6.88,    5.79,    6.28,    6.62,    7.04,    7.73,    8.91,    9.31,    9.83
198111,    0.13,    3.26,    2.55,   -0.68,    3.36,    3.30,    2.75,    2.45,   -2.15,    2.63,    3.03,    3.67,    3.18,    3.43,    2.70,    2.81,    2.93,    2.12
198112,   -2.76,   -1.68,   -1.63,   -3.11,   -1.90,   -1.19,   -1.84,   -1.63,   -3.56,   -2.08,   -1.51,   -2.25,   -0.59,   -1.82,   -2.07,   -1.64,   -0.69,   -2.26
198201,   -1.32,   -1.74,   -2.93,   -1.23,   -1.22,   -1.65,   -3.38,   -2.61,   -1.50,   -0.62,   -1.64,   -0.84,   -1.20,   -2.12,   -2.94,   -3.78,   -3.16,   -2.24
198202,   -3.80,   -3.21,   -5.62,   -4.36,   -2.40,   -3.07,   -4.51,   -5.79,   -5.18,   -2.51,   -1.79,   -2.96,   -3.10,   -3.04,   -3.80,   -5.15,   -4.56,   -6.63
198203,   -1.03,   -0.42,   -1.33,   -1.43,    0.19,   -0.34,   -0.80,   -1.62,   -1.91,   -0.37,    0.43,   -0.03,   -0.39,   -0.28,   -1.04,   -0.58,   -1.23,   -1.88
198204,    4.40,    5.71,    6.31,    4.09,    5.20,    5.90,    5.62,    6.76,    3.64,    5.08,    5.49,    4.94,    5.54,    6.29,    6.17,    5.13,    6.36,    7.02
198205,   -2.11,   -2.37,   -2.41,   -1.97,   -2.63,   -2.15,   -1.96,   -2.76,   -2.12,   -1.64,   -2.58,   -2.67,   -1.50,   -2.84,   -2.51,   -1.47,   -2.85,   -2.70
198206,   -3.65,   -2.50,   -3.25,   -3.93,   -3.11,   -1.88,   -2.62,   -3.51,   -4.68,   -2.25,   -2.64,   -3.52,   -1.71,   -2.06,   -2.69,   -2.57,   -2.48,   -4.20
198207,   -2.04,   -1.47,   -1.58,   -2.24,   -1.38,   -1.26,   -1.48,   -1.78,   -2.93,   -0.43,   -1.29,   -1.48,   -1.36,   -1.18,   -1.91,   -1.06,   -1.94,   -1.68
198208,    5.15,    7.58,    6.97,    4.64,    7.03,    7.70,    7.88,    6.65,    4.32,    5.49,    7.06,    7.00,    7.01,    8.28,    7.95,    7.81,    7.54,    6.08
198209,    2.57,    3.69,    3.54,    2.31,    3.50,    3.96,    4.17,    2.99,    2.19,    2.64,    3.54,    3.46,    3.93,    3.99,    3.33,    4.99,    3.96,    2.37
198210,   11.73,   12.64,   16.27,   11.84,   11.91,   12.52,   13.70,   16.98,   11.66,   12.29,   11.33,   12.55,   12.56,   12.48,   12.99,   14.40,   15.73,   17.79
198211,    9.88,    8.70,    9.50,    9.99,    9.41,    8.69,    8.20,    9.93,   10.19,    9.49,    9.47,    9.35,    8.64,    8.73,    8.04,    8.35,    8.08,   11.13
198212,    2.63,    2.42,    1.62,    2.76,    2.05,    2.57,    2.25,    1.50,    3.19,    1.70,    2.14,    1.94,    3.31,    1.95,    2.60,    1.92,    1.45,    1.53
198301,   15.05,    7.80,    7.72,   16.98,    8.08,    7.23,    7.21,    8.43,   19.57,   10.51,    7.93,    8.24,    7.78,    6.76,    8.58,    5.87,    7.26,    9.18
198302,    6.13,    5.48,    5.05,    6.13,    5.95,    5.70,    5.42,    4.65,    6.23,    5.88,    6.15,    5.72,    5.55,    5.83,    4.73,    6.09,    4.59,    4.68
198303,    5.67,    5.11,    3.88,    5.73,    5.78,    4.80,    4.95,    3.40,    5.56,    6.14,    5.49,    6.11,    4.90,    4.71,    4.73,    5.17,    4.00,    3.01
